Date,Country,Confirmed,Deaths,Recovered,Active,Tests,Vaccination Rate (%),Hospitalized,ICU,New Cases,New Deaths,Stringency Index,Population,Positivity Rate (%),Reproduction Rate (R),Healthcare Pressure Index,Mobility Index,Stringent Lockdown,Mask Mandate,School Closures,International Travel,People Vaccinated,People Fully Vaccinated,Booster Doses Given,Vaccine Type,Hospital Beds per 1000,ICU Beds per 1000,Doctors per 1000,GDP Impact (%),Unemployment Rate (%),Stimulus Package Amount (Billion USD),Lockdown Level,Vaccination Mandate,Testing Mandate,Dominant Variant,Wave Number,Cases Age 0-17,Cases Age 18-44,Cases Age 45-60,Cases Age 60+,New Recoveries,Tests Per Million,Deaths Per Million
2020-01-22,USA,502,2,458,42,687,0.0,275,74,510,10,42.74,32887906,74.24,1.93,38.39,-41.03,Yes,No,Open,Allowed,4354955,4200413,126206,Sputnik,4.95,2.09,3.12,-0.56,9.43,423.36,High,Yes,Yes,Alpha,3,10171,239073,59587,27319,31726,4188,9.27
2020-01-23,USA,1018,8,922,88,1394,0.09,856,77,673,27,47.76,254629649,48.28,1.28,71.22,-37.92,No,Yes,Partial,Restricted,688937,368249,874312,Sputnik,1.85,1.31,1.41,-10.04,18.7,165.16,Medium,No,Yes,Omicron,3,13392,249613,175727,128277,43910,8119,3.83
2020-01-24,USA,1530,15,1360,155,2096,0.19,609,10,760,33,79.04,339797719,36.26,1.62,93.41,1.22,Yes,No,Partial,Banned,3634621,3182135,381643,Pfizer,5.13,1.99,3.81,-0.65,7.0,258.43,High,Yes,No,None,1,93495,9056,9146,46631,4627,12509,2.39
2020-01-25,USA,2082,18,1816,248,2852,0.28,891,33,855,3,89.75,303070708,29.98,1.48,81.86,-45.93,Yes,Yes,Closed,Restricted,1587901,1243623,34218,Moderna,2.83,2.92,1.68,-9.09,11.34,401.46,High,Yes,No,Alpha,3,55515,265578,61778,137353,44484,11716,1.75
2020-01-26,USA,2557,28,2200,329,3503,0.37,341,28,441,1,89.9,300921575,12.59,0.73,38.14,23.34,No,No,Partial,Banned,126602,16057,155598,Sputnik,3.96,1.15,1.07,0.88,11.82,242.09,High,No,Yes,Beta,1,90399,217311,164424,91864,38433,1076,4.32
2020-01-27,USA,3052,36,2696,320,4181,0.47,202,51,952,46,71.04,332472294,22.77,1.93,72.8,13.41,No,No,Open,Allowed,3005178,2939008,381789,Moderna,2.2,2.5,1.61,-4.51,16.24,358.22,High,Yes,No,Alpha,3,87460,138109,197489,6899,48293,4949,5.29
2020-01-28,USA,3573,40,3110,423,4894,0.56,166,57,330,43,81.53,325733649,6.74,1.25,79.18,-27.08,No,Yes,Open,Restricted,187757,-785789,345337,Covishield,5.12,2.57,3.31,0.83,4.41,106.31,Full,No,Yes,Alpha,3,6453,47578,44730,14859,20083,2744,0.23
2020-01-29,USA,4037,46,3549,442,5530,0.65,694,43,802,11,83.48,133779917,14.5,1.7,14.11,-48.51,No,Yes,Closed,Allowed,2076280,1536335,110826,Pfizer,5.94,0.52,3.16,-0.47,10.4,50.75,Low,No,Yes,Omicron,4,65126,8179,169104,58749,36084,14065,4.02
2020-01-30,USA,4553,55,4001,497,6237,0.74,990,38,581,43,55.67,140298271,9.32,0.61,66.23,-42.41,No,Yes,Open,Banned,637487,-297287,906873,Sinovac,4.67,2.09,1.59,-9.51,14.8,432.04,High,No,Yes,None,2,91246,288956,13105,104066,11336,5985,2.76
2020-01-31,USA,5070,64,4425,581,6945,0.84,920,35,914,36,82.43,78539639,13.16,1.31,75.59,47.26,Yes,No,Open,Allowed,2559991,2301169,724890,Sinovac,5.7,2.28,3.79,-3.48,14.24,398.58,Low,Yes,Yes,Alpha,1,93702,12679,9978,11449,11414,17931,6.56
2020-02-01,USA,5582,71,4891,620,7647,0.93,194,15,226,14,86.09,149179298,2.96,1.81,34.13,-31.83,No,No,Open,Banned,2685476,1765975,483919,Pfizer,5.35,0.97,3.39,-10.51,11.96,291.37,Full,Yes,No,None,4,88130,71431,94760,130218,21348,7650,6.31
2020-02-02,USA,6035,73,5368,594,8267,1.02,656,62,875,16,98.25,165572380,10.58,0.88,67.35,5.33,No,No,Partial,Allowed,2708185,2584970,495974,Pfizer,2.98,1.4,1.01,1.28,17.95,353.26,Medium,Yes,Yes,Alpha,4,18604,42760,129499,81247,14488,4507,1.74
2020-02-03,USA,6562,78,5828,656,8989,1.12,899,41,888,47,79.33,103239482,9.88,1.63,23.79,-19.76,No,Yes,Partial,Banned,4184573,3460031,330762,Moderna,2.64,2.35,3.05,-0.14,4.65,471.24,High,Yes,No,Beta,2,43249,154899,43344,83599,12433,1326,3.54
2020-02-04,USA,7046,84,6277,685,9652,1.21,427,55,428,27,35.91,57588882,4.43,1.14,53.32,24.67,No,Yes,Closed,Banned,3289147,2833474,755415,Pfizer,3.42,0.65,2.03,-6.02,17.04,30.47,High,Yes,Yes,Beta,4,17959,291447,162559,69279,46727,17264,7.75
2020-02-05,USA,7557,89,6701,767,10352,1.3,550,74,363,12,53.36,102178839,3.51,0.92,41.67,34.1,No,Yes,Closed,Banned,610280,-266090,253699,Pfizer,3.55,0.83,1.69,-3.94,11.21,147.48,Medium,Yes,No,Delta,2,41496,291945,74698,78090,30665,2929,1.99
2020-02-06,USA,8099,95,7190,814,11095,1.4,964,79,530,28,72.03,272626661,4.78,0.62,13.93,4.92,No,No,Open,Allowed,2873799,2301522,28069,Covishield,3.0,2.97,3.0,-3.29,4.08,402.58,Medium,Yes,Yes,Beta,2,10220,141354,193794,109223,44947,5122,3.83
2020-02-07,USA,8598,99,7654,845,11779,1.49,358,54,724,31,60.08,219204393,6.15,1.3,61.37,46.24,Yes,No,Open,Restricted,4652997,4537334,116534,Pfizer,1.6,1.93,3.21,-8.29,8.5,353.49,Low,No,Yes,Omicron,1,67409,263360,37408,148150,34610,13388,9.27
2020-02-08,USA,9070,106,8128,836,12425,1.58,206,21,15,47,56.2,231407666,0.12,0.76,87.57,-14.19,No,Yes,Open,Allowed,2334402,2278228,582613,Sinovac,2.4,0.54,1.65,-6.1,5.42,452.68,Low,No,Yes,Beta,4,81647,60486,49940,74337,39067,8469,0.86
2020-02-09,USA,9607,114,8558,935,13161,1.68,625,93,601,20,31.46,252460211,4.57,1.07,64.9,44.72,Yes,No,Partial,Restricted,184539,-434719,153082,Pfizer,2.27,2.81,2.97,-5.29,13.2,23.13,Full,No,No,Delta,4,3192,86173,163881,143172,5258,12437,6.39
